Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,Include Title,Include abstract,Exclude,accept�contents,rq�answers,,
Real Time Bangladeshi Sign Language Detection using Faster R-CNN,O. B. Hoque; M. I. Jubair; M. S. Islam; A. -F. Akash; A. S. Paulson,"Department of Computer Science and Engineering, Ahsanullah University of Science and Technology, Dhaka, Bangladesh; Department of Computer Science and Engineering, Ahsanullah University of Science and Technology, Dhaka, Bangladesh; Department of Computer Science and Engineering, Ahsanullah University of Science and Technology, Dhaka, Bangladesh; Department of Computer Science and Engineering, Ahsanullah University of Science and Technology, Dhaka, Bangladesh; Department of Computer Science and Engineering, Ahsanullah University of Science and Technology, Dhaka, Bangladesh",2018 International Conference on Innovation in Engineering and Technology (ICIET),07-Mar-19,2018,,,1,6,"Bangladeshi Sign Language (BdSL) is a commonly used medium of communication for the hearing-impaired people in Bangladesh. Developing a real time system to detect these signs from images is a great challenge. In this paper, we present a technique to detect BdSL from images that performs in real time. Our method uses Convolutional Neural Network based object detection technique to detect the presence of signs in the image region and to recognize its class. For this purpose, we adopted Faster Region-based Convolutional Network approach and developed a dataset - BdSLImset - to train our system. Previous research works in detecting BdSL generally depend on external devices while most of the other vision-based techniques do not perform efficiently in real time. Our approach, however, is free from such limitations and the experimental results demonstrate that the proposed method successfully identifies and recognizes Bangladeshi signs in real time.",,978-1-5386-5229-9,10.1109/CIET.2018.8660780,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8660780,Bangladeshi Sign Language;Convolutional Neural Network;Faster R-CNN,Assistive technology;Gesture recognition;Real-time systems;Training;Object detection;Convolutional neural networks;Lighting,computer vision;convolutional neural nets;handicapped aids;object detection;sign language recognition,Faster r-CNN;BdSL;hearing-impaired people;image region;convolutional neural network;object detection technique;faster region-based convolutional network;Bangladeshi sign language detection,,21,,16,IEEE,07-Mar-19,,,IEEE,IEEE Conferences,Yes ,Yes,No,Yes,"""Images of different
BdSL signs from our BdSLImset dataset were trained by Faster
R-CNN based model to solve the problem of sign language
recognition."" pg.4.",,1
An Efficient Binarized Neural Network for Recognizing Two Hands Indian Sign Language Gestures in Real-time Environment,M. Jaiswal; V. Sharma; A. Sharma; S. Saini; R. Tomar,"Dept. of Electronics and Communication Engineering, The LNM Institute of Information Technology, Jaipur, India; Dept. of Electronics and Communication Engineering, The LNM Institute of Information Technology, Jaipur, India; Dept. of Electronics and Communication Engineering, The LNM Institute of Information Technology, Jaipur, India; Dept. of Electronics and Communication Engineering, The LNM Institute of Information Technology, Jaipur, India; Dept. of Electronics and Communication Engineering, The LNM Institute of Information Technology, Jaipur, India",2020 IEEE 17th India Council International Conference (INDICON),05-Feb-21,2020,,,1,6,"This paper proposes an efficient architecture based on Binarized Neural Network (BNN) for recognizing two-hand Indian Sign Language (ISL). Some of the existing works apply deep Convolutional Neural Networks (CNN) and machine learning (ML) models to solve the challenging task of ISL recognition in a real-time environment. Therefore, the proposed BNN architecture having binary weights and activations, with bitwise operations used to reduce computational complexity during training and also, the method based on skin color segmentation and Otsu thresholding is applied to extract hand region during sign recognition. Extensive experiments are carried out on the ISL database having English alphabets and words static gestures show that the proposed work achieves a higher recognition rate of 98.8% in real-time as compared to other works. Moreover, a comparative analysis of the proposed BNN is performed over CNN in terms of memory consumption, speed, and training accuracy.",2325-9418,978-1-7281-6916-3,10.1109/INDICON49873.2020.9342454,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9342454,Real time recognition;Deep Learning;Sign language;Binarized Neural Networks;model compression,Training;Assistive technology;Neural networks;Gesture recognition;Real-time systems;Skin;Task analysis,computational complexity;feature extraction;gesture recognition;image colour analysis;image segmentation;learning (artificial intelligence);neural nets,words static gestures;CNN;efficient binarized neural network;hands indian sign language gestures;real-time environment;two-hand Indian Sign Language;ISL recognition;BNN architecture;binary weights;bitwise operations;skin color segmentation;hand region;sign recognition;ISL database,,6,,22,IEEE,05-Feb-21,,,IEEE,IEEE Conferences,Yes ,Yes,No,Yes,"""In this paper, a novel architecture of BNN is proposed for ISL recognition in a cluttered background. Using this architecture, and skin color hand segmentation technique, the experiments conducted on two hands ISL database under various illuminations shows that the realtime system correctly predicts the English alphabets and words"" .pg.5.",,2
Real-Time Recognition of Bangla Sign Language Characters: A Computer Vision Based Approach Using Convolutional Neural Network,M. Tanvir; M. S. Alam; D. K. Saha; S. A. Hasib; S. Islam,"Dept. of MTE, RUET, Rajshahi, Bangladesh; Dept. of MTE, RUET, Rajshahi, Bangladesh; Dept. of MTE, RUET, Rajshahi, Bangladesh; Dept. of MTE, RUET, Rajshahi, Bangladesh; Dept. of MTE, RUET, Rajshahi, Bangladesh",2021 3rd International Conference on Electrical & Electronic Engineering (ICEEE),01-Mar-22,2021,,,177,180,"Sign Language is the elementary communication media for Deaf & Mute (D&M) people. On the other hand, it seems too tenacious for the general people to understand this language. In order to tear out this communication barrier, a real-time automated translator is essential. Through this research, a computer vision-based approach has been developed for the recognition of Bangla Sign Language (BdSL) characters. In this work, a deep learning-based recognition model has been developed. Adaptive thresholding has been integrated with 2D Convolutional Neural Network (CNN) to construct this model. Proposed model has been trained to build this real-time automated translator through our own created dataset (dataset containing 3600 different images for 36 distinct characters). The proposed model has been trained and tested with 2880 (80%) training images and 720 (20%) testing images respectively. Thirty-six unique characters of Bangla Sign Language can be recognized through this model with significant accuracy. The model delivers validation accuracy of 99.72% and validation loss of 0.73%. A significant result has been achieved for the recognition and translation of Bangla Sign Language characters with this dataset over other existing Bangla Sign Language Recognition model.",,978-1-6654-8281-3,10.1109/ICEEE54059.2021.9718800,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9718800,Sign Language;Computer Vision;Deep Learning;CNN;Bangla Sign Language,Training;Adaptation models;Computer vision;Computational modeling;Gesture recognition;Assistive technologies;Real-time systems,computer vision;handicapped aids;learning (artificial intelligence);natural language processing;neural nets;sign language recognition,time Recognition;Bangla Sign Language characters;Convolutional Neural Network;elementary communication media;Deaf & Mute people;general people;communication barrier;real-time automated translator;computer vision-based approach;deep learning-based recognition model;36 distinct characters;2880 training images;thirty-six unique characters;existing Bangla Sign Language Recognition model,,1,,12,IEEE,01-Mar-22,,,IEEE,IEEE Conferences,Yes ,Yes,No,Yes,"""CNN architecture has been applied to build the recognition model of this paper."" pg.2.",,3
Bangla Sign Digits: A Dataset For Real Time Hand Gesture Recognition,D. Tasmere; B. Ahmed; M. M. Hasan,"Department of Computer Science & Engineering, Rajshahi University of Engineering & Technology, Rajshahi, Bangladesh; Department of Computer Science & Engineering, Rajshahi University of Engineering & Technology, Rajshahi, Bangladesh; Department of Computer Science & Engineering, Rajshahi University of Engineering & Technology, Rajshahi, Bangladesh",2020 11th International Conference on Electrical and Computer Engineering (ICECE),05-Apr-21,2020,,,186,189,"With current widespread computer vision study, research with a particular culture and aesthetic contexts lead to enhanced performance with improved user experience. Despite a large number of deaf and dumb people, Bangla Sign Language has been less-focused on the research area. This paper proposes the building of identifying Bangla Sign Language using hand gestures to reduce the isolation of the hearing-impairment world. For the last little advancement in deep learning, Convolution Neural Network (CNN) has been used to classify Bangla Sign Language with higher accuracy. Our methodology overcomes all constraints from existing research of Bangla hand gesture recognition. In this paper, we presented a novel real-time method for Bangla sign digits (0-9) that focuses on three sections: image acquisition, preprocessing, and lastly, recognition of Bangla sign digits. For training, we have created a dataset of 1674 images from different people from various conditions. The proposed CNN model architecture classifies all Bangla sign digits with an overall accuracy of 97.63% on real-time video that ensures a potential gesture model that contributed significantly in the domain of Bangla sign number recognition compared to previous researches.",,978-1-6654-2254-3,10.1109/ICECE51571.2020.9393070,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9393070,A dataset for Bangla Sign digits;Bangla Sign Digits Recognition;Deep Convolution Neural Network;Real Time Recognition.,Training;Target recognition;Convolution;Assistive technology;Gesture recognition;Real-time systems;User experience,computer vision;gesture recognition;handicapped aids;learning (artificial intelligence);neural nets;object detection;sign language recognition,Bangla Sign digits;time hand gesture recognition;current widespread computer vision study;Bangla Sign Language;hand gestures;Bangla hand gesture recognition;Bangla sign digits;Bangla sign number recognition,,2,,16,IEEE,05-Apr-21,,,IEEE,IEEE Conferences,Yes ,Yes,No,Yes,"""Our proposed system detects hand area from a real-time video extracts hand features after preprocessing, and trains a deep CNN model to recognize correct gestures."" pg.2.",,4
Dynamic Hand Gesture Recognition System for Kurdish Sign Language Using Two Lines of Features,M. R. Mahmood; A. Mohsin Abdulazeez; Z. Orman,"Department of Computer Science, University of Zakho, Zakho, Kurdistan Region, Iraq; Duhok Polytechnic University, Duhok, Kurdistan Region, Iraq; Department of Computer Engineering, University of Istanbul, Istanbul, Turkey",2018 International Conference on Advanced Science and Engineering (ICOASE),29-Nov-18,2018,,,42,47,"Hand gesture recognition forms a great difficulty for computer vision especially in dynamics. Sign language has been significant and an interesting application field of dynamic hand gesture recognition system. The recognition of human hands formed an- extremely complicated mission. The solution for such a difficulty requires a robust hand tracking method which depends on an effective feature and classifier. This paper presents a novel, fast and simple method for dynamic hand gesture recognition based on two lines (hundred) of features extracted from two rows of a Real-Time video. Feature selections have been used for hand shape representation to recognize the dynamic word for Kurdish Sign Language. The features extracted in real time from pre-processed hand object were represented through the optimization values of binary captured frame. Finally, an Artificial Neural Network classifier is used to recognize the performed hand gestures by 80% for training and 20% for testing with success 98%.",,978-1-5386-6696-8,10.1109/ICOASE.2018.8548840,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8548840,hand gesture;sign language;Kurdish sign language;feature extraction;artificial neural networks,Feature extraction;Gesture recognition;Assistive technology;Training;Testing;Real-time systems;Shape,computer vision;feature extraction;feature selection;neural nets;optimisation;pattern classification;sign language recognition,hand shape representation;dynamic word;pre-processed hand object;dynamic hand gesture recognition system;hand gesture recognition forms;human hands;robust hand tracking method;real-time video;feature selection;optimization values;computer vision;Kurdish sign language;artificial neural network classifier,,6,,20,IEEE,29-Nov-18,,,IEEE,IEEE Conferences,Yes ,Yes,No,No,"""The features of hand image (dynamic hand image) are stored in training dataset vector then are used to match them with features of the testing image by ANN."" pg.3.",,
Real-Time American Sign Language Recognition Using Skin Segmentation and Image Category Classification with Convolutional Neural Network and Deep Learning,S. Shahriar; A. Siddiquee; T. Islam; A. Ghosh; R. Chakraborty; A. I. Khan; C. Shahnaz; S. A. Fattah,"Department of Electrical and Electronic Engineering, Bangladesh University of Engineering and Technology, Dhaka, Bangladesh; Department of Electrical and Electronic Engineering, Bangladesh University of Engineering and Technology, Dhaka, Bangladesh; Department of Electrical and Electronic Engineering, Bangladesh University of Engineering and Technology, Dhaka, Bangladesh; Department of Electrical and Electronic Engineering, Bangladesh University of Engineering and Technology, Dhaka, Bangladesh; Department of Electrical and Electronic Engineering, Bangladesh University of Engineering and Technology, Dhaka, Bangladesh; Department of Electrical and Electronic Engineering, Bangladesh University of Engineering and Technology, Dhaka, Bangladesh; Department of Electrical and Electronic Engineering, Bangladesh University of Engineering and Technology, Dhaka, Bangladesh; Department of Electrical and Electronic Engineering, Bangladesh University of Engineering and Technology, Dhaka, Bangladesh",TENCON 2018 - 2018 IEEE Region 10 Conference,24-Feb-19,2018,,,1168,1171,A real-time sign language translator is an important milestone in facilitating communication between the deaf community and the general public. We hereby present the development and implementation of an American Sign Language (ASL) fingerspelling translator based on skin segmentation and machine learning algorithms. We present an automatic human skin segmentation algorithm based on color information. The YCbCr color space is employed because it is typically used in video coding and provides an effective use of chrominance information for modeling the human skin color. We model the skin-color distribution as a bivariate normal distribution in the CbCr plane. The performance of the algorithm is illustrated by simulations carried out on images depicting people of different ethnicity. Then Convolutional Neural Network (CNN) is used to extract features from the images and Deep Learning Method is used to train a classifier to recognize Sign Language.,2159-3450,978-1-5386-5457-6,10.1109/TENCON.2018.8650524,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8650524,sign language;skin segmentation;machine learning;YCbCr color space;gesture recognition,Image color analysis;Skin;Feature extraction;Gesture recognition;Assistive technology;Image segmentation;Colored noise,convolutional neural nets;feature extraction;gesture recognition;image classification;image colour analysis;image segmentation;learning (artificial intelligence);normal distribution;real-time systems;sign language recognition;skin,real-time American Sign Language recognition;Deep Learning Method;bivariate normal distribution;skin-color distribution;human skin color;chrominance information;YCbCr color space;color information;automatic human skin segmentation algorithm;machine learning algorithms;American Sign Language fingerspelling translator;general public;deaf community;real-time sign language translator;Convolutional Neural Network;image category classification,,16,,18,IEEE,24-Feb-19,,,IEEE,IEEE Conferences,Yes ,Yes,No,Yes,"""We captured numerous images and extracted features from it using CNN Transfer Learning. These features were then again passed onto a Deep Learning Classifier to ensure proper classification of hand-signs."" pg.1.",,5
A CNN sign language recognition system with single & double-handed gestures,N. Buckley; L. Sherrett; E. Lindo Secco,"AI Laboratory, School of Mathematics, Computer Science and Engineering, Liverpool Hope University, Liverpool, UK; AI Laboratory, School of Mathematics, Computer Science and Engineering, Liverpool Hope University, Liverpool, UK; Robotics Laboratory, School of Mathematics, Computer Science and Engineering, Liverpool Hope University, Liverpool, UK","2021 IEEE 45th Annual Computers, Software, and Applications Conference (COMPSAC)",09-Sep-21,2021,,,1250,1253,"This work aims at presenting a novel Computer Vision approach in the development of a real-time, web-camera based, British Sign Language recognition system. A literature review focused on current (1) state of sign language recognition systems and (2) techniques used is conducted. This review process is used as a foundation on which a Convolutional Neural Network (CNN) based system is designed and then implemented. A bespoke British Sign Language dataset -containing 11,875 images - is then performed to train and test the CNN which is used for the classification of human hand performed gestures. Finally, the CNN architecture recognized 19 static British Sign Language gestures, incorporating both single and double-handed gestures. During testing, the system achieved an average recognition accuracy of 89%.",0730-3157,978-1-6654-2463-9,10.1109/COMPSAC51774.2021.00173,Liverpool Hope University; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9529449,sign language recognition;AI;CNN;human-machine interaction,Computer vision;Conferences;Bibliographies;Gesture recognition;Computer architecture;Assistive technologies;Software,computer vision;convolutional neural nets;feature extraction;gesture recognition;handicapped aids;image sensors;natural language processing;sign language recognition,CNN sign language recognition system;double-handed gestures;computer vision approach;web-camera;literature review;review process;convolutional neural network based system;human hand;CNN architecture;static British sign language gestures;bespoke British sign language dataset;British sign language recognition system,,5,,15,IEEE,09-Sep-21,,,IEEE,IEEE Conferences,Yes ,Yes,No,Yes,"""The system will make use of a CNN for the feature extraction and classification process.""pg.2.",,6
Real time Hand Gesture Recognition using different algorithms based on American Sign Language,M. M. Islam; S. Siddiqua; J. Afnan,"Shahjalal University of Science and Technology, Sylhet, BD; Department of Electrical and Electronic Engineering, Shahjalal University of Science and Technology, Sylhet, Bangladesh; Department of Electrical and Electronic Engineering, Shahjalal University of Science and Technology, Sylhet, Bangladesh","2017 IEEE International Conference on Imaging, Vision & Pattern Recognition (icIVPR)",03-Apr-17,2017,,,1,6,"Human Computer Interaction (HCI) is a broad research field based on human interaction with computers or machines. Basically, Hand Gesture Recognition (HGR) is a subfield of HCI. Today, many researchers are working on different HGR applications like game controlling, robot control, smart home system, medical services etc. The purpose of this paper is to represent a real time HGR system based on American Sign Language (ASL) recognition with greater accuracy. This system acquires gesture images of ASL with black background from mobile video camera for feature extraction. In the processing phase, the system extracts five features such as fingertip finder, eccentricity, elongatedness, pixel segmentation and rotation. For feature extraction, a new algorithm is proposed which basically combines K curvature and convex hull algorithms. It can be called “K convex hull” method which can detect fingertip with high accuracy. In our system, Artificial Neural Network (ANN) is used with feed forward, back propagation algorithm for training a network using 30 feature vectors to recognize 37 signs of American alphabets and numbers properly which is helpful for HCI system. The total gesture recognition rate of this system is 94.32% in real time environment.",,978-1-5090-6004-7,10.1109/ICIVPR.2017.7890854,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7890854,American sign language;hand gesture recognition;fingertip finder algorithm;k curvature;convex hull;pixel segmentation;eccentricity;elongatedness;artificial neural network,Feature extraction;Gesture recognition;Assistive technology;Image segmentation;Shape;Real-time systems;Cameras,backpropagation;feature extraction;feedforward neural nets;human computer interaction;natural language processing;sign language recognition,hand gesture recognition;HGR;American sign language recognition;ASL recognition;human computer interaction;HCI;feature extraction;artificial neural network;ANN;feedforward algorithm;backpropagation algorithm,,44,,7,IEEE,03-Apr-17,,,IEEE,IEEE Conferences,Yes ,No,,,,,
Real-time Sign Language Recognition using Computer Vision,J. J. Raval; R. Gajjar,"Electronics and Communication Department, Institute of Technology, Nirma University, Ahmedabad, India; Electronics and Communication Department, Institute of Technology, Nirma University, Ahmedabad, India",2021 3rd International Conference on Signal Processing and Communication (ICPSC),15-Jun-21,2021,,,542,546,Speech impairment is a disability that affects an individual's ability to verbal communication. To overcome this issue sign language is used which is one of the most organised languages. There is definitely a need for a method or an application that can recognize sign language gestures so that communication is possible even if someone does not understand sign language. My paper is an effort towards filling the gap between differently-abled people like deaf and dumb and the other people. Image processing combined with machine learning helped in forming a real-time system. Image processing is used for pre-processing the images and extracting different hand from the background. These images obtained after extracting background were used for forming data that contained 24 alphabets of the English language. The Convolutional Neural Network proposed here is tested on both a custom-made dataset and also with real-time hand gestures performed by people of different skin tones. The accuracy obtained by the proposed algorithm is 83%.,,978-1-6654-2864-4,10.1109/ICSPC51351.2021.9451709,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9451709,Machine learning;Image processing;Convolutional Neural Network,Assistive technology;Signal processing algorithms;Gesture recognition;Signal processing;Feature extraction;Cameras;Real-time systems,computer vision;feature extraction;gesture recognition;handicapped aids;learning (artificial intelligence);neural nets;sign language recognition,verbal communication;issue sign language;organised languages;differently-abled people;image processing;real-time system;extracting different hand;English language;real-time hand gestures;time sign language recognition;computer vision;speech impairment;individual,,1,,14,IEEE,15-Jun-21,,,IEEE,IEEE Conferences,Yes ,Yes,No,Yes,"""A Convolutional Neural Network model is designed for extracting features from the corresponding signs."" pg.5.",,7
Real-time computer vision-based Bengali Sign Language recognition,M. A. Rahaman; M. Jasim; M. H. Ali; M. Hasanuzzaman,"Department of Computer Science & Engineering, University of Dhaka, Dhaka, Bangladesh; Department of Computer Science & Engineering, University of Dhaka, Dhaka, Bangladesh; Department of Computer Science & Engineering, University of Dhaka, Dhaka, Bangladesh; Department of Computer Science & Engineering, University of Dhaka, Dhaka, Bangladesh",2014 17th International Conference on Computer and Information Technology (ICCIT),02-Apr-15,2014,,,192,197,"This paper presents a real-time computer vision-based Bengali Sign Language (BdSL) recognition system. The system detects the probable hand from the captured image. The system uses Haar-like feature-based cascaded classifiers to detect the hand in each frame. From the detected hand area, the system extracts the hand sign based on Hue and Saturation value corresponding to human skin color. After normalization the system converts the hand sign to binary image. Then the binary images are classified by comparing with pre-trained binary images of hand sign using K-Nearest Neighbors (KNN) Classifier. The system is able to recognize 6 Bengali Vowels and 30 Bengali Consonants. The system is trained using 3600 (36×10×10) training images where each of 10 signers performed 10 signs for each corresponding Bengali alphabet and the system is tested using another 3600 (36×10×10) images of 10 signers. The system is achieved recognition accuracy of 98.17% for Vowels and 94.75% for Consonants.",,978-1-4799-6288-4,10.1109/ICCITechn.2014.7073150,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7073150,Skin color segmentation;Hand detection;K-Nearest Neighbors (KNN) algorithm;Bengali Sign Language Recognition,Assistive technology;Feature extraction;Gesture recognition;Accuracy;Training;Image color analysis;Skin,computer vision;Haar transforms;image capture;image classification;image colour analysis;natural language processing;sign language recognition,real-time computer vision-based Bengali sign language recognition system;probable hand detection;image capture;Haar-like feature-based cascaded classifiers;hue and saturation value;human skin color;binary image classification;pretrained binary images;k-nearest neighbor classifier;KNN classifier;Bengali vowels;Bengali consonants;Bengali alphabet;recognition accuracy;BdSL recognition system,,47,,11,IEEE,02-Apr-15,,,IEEE,IEEE Conferences,No,No,No,No,,,
